"","MSE","MAPE","ARV"
"1",0.0189766524127914,0.287785084504682,1.15394701302349
"2",0.0187062651302177,0.284836211718529,1.14819541491842
"3",0.0189295659977055,0.284405329178141,1.18129232934489
"4",0.0186881352544645,0.287405592052314,1.13877502294874
"5",0.019268664142146,0.294684355700384,1.11270164355215
"6",0.0192185668245644,0.290725367785894,1.12224220434593
"7",0.0184638030248176,0.285221214553906,1.17336857195838
"8",0.0186325794344107,0.282668606414785,1.11582137728817
"9",0.0189410639964662,0.289461460637962,1.12199922628999
"10",0.0188125544240189,0.28636534502379,1.12887964095009
