"MSE";"MAE";"MAPE";"THEIL";"ARV"
"Oracle";0.00438206624400305;0.035898946089104;0.0615357302437704;0.973863829820854;0.187643182668481
"SA";0.0122417408449804;0.0825338989191697;0.151249032278302;2.70091974974962;0.612304678790451
"SM";0.0122838695403753;0.083243999067575;0.153431659830799;2.71106056170527;0.630761850636093
"k_1";0.0128240099129551;0.0892655285477648;0.178656754792918;2.85088861400705;0.870107354009913
"k_2";0.0117635036870406;0.0868011802619911;0.172869380510475;2.57934805974982;0.824913865856954
"k_3";0.0118811604693306;0.0868287606804026;0.169274364090428;2.61634061943943;0.754248389040092
"k_4";0.0117768106293102;0.0885671329475414;0.173852304837126;2.6029380643835;0.800020627355973
"k_5";0.0114514174390669;0.0871863361105862;0.171018831987381;2.53507230244094;0.760474250608934
