"MSE";"MAE";"MAPE";"THEIL";"ARV"
"Oracle";1.99119873895899e-05;0.00327315524993004;0.00332140637267544;0.901931420879061;0.00193213382861294
"SA";0.00676548574354066;0.0806587486609228;0.0804396748010395;303.907955793974;2.92489088727593
"SM";0.00564846305282219;0.0730968479751075;0.0733789957623246;252.869142827274;1.950489103587
"k_1";0.00417557847614772;0.0503800544089022;0.0458752122588242;189.792059515636;0.15960626353106
"k_2";0.00417557847614772;0.0503800544089022;0.0458752122588242;189.792059515636;0.15960626353106
"k_3";0.00311144939049672;0.0436934145175294;0.03990971252308;141.368492809258;0.135424775870262
"k_4";0.00417557847614772;0.0503800544089022;0.0458752122588242;189.792059515636;0.15960626353106
"k_5";0.00417557847614772;0.0503800544089022;0.0458752122588243;189.792059515636;0.15960626353106
