"MSE";"MAE";"MAPE";"THEIL";"ARV"
"Oracle";0.0051394410621842;0.0352913778173812;0.0483556970731745;31.0426939980562;0.165585573102807
"SA";0.0120753927119655;0.0814883965150678;0.13099484277352;72.6592721860714;0.481005018607914
"SM";0.0119103794585418;0.0828235839077254;0.134377194154834;71.6724871509696;0.493758437350902
"k_1";0.0123830181838491;0.0873331711880687;0.152972266388965;74.8068589223409;0.653012311161726
"k_2";0.0120502465076565;0.0859567323315434;0.150339188048366;72.7902209385337;0.619271497163106
"k_3";0.0118530588845095;0.0838329132544332;0.143810968499232;71.5771791072425;0.56132839492075
"k_4";0.011720311857632;0.0846337847835737;0.147293085886729;70.7931714093753;0.589661607948697
"k_5";0.0117670428688372;0.0842735799443634;0.146188831447785;71.0747312769767;0.585975144831573
