"MSE";"MAE";"MAPE";"THEIL";"ARV"
"Oracle";1.59974055505411e-05;0.00313437013143867;0.00315576170793515;0.767503972561025;0.00155048998012098
"SA";0.00182640345408984;0.038957334177739;0.0389692755033399;87.5541234350274;0.517657224793681
"SM";0.00171878669018803;0.0383365555189283;0.0385189476422828;82.3724839088055;0.461557307385445
"k_1";0.000793212674671142;0.0229212717327805;0.0222988075854202;38.0775957071465;0.147148736512571
"k_2";0.000793212674671142;0.0229212717327805;0.0222988075854202;38.0775957071465;0.147148736512571
"k_3";0.00124485085740139;0.0311008872033212;0.030836721437807;59.7127555292242;0.283019707474752
"k_4";0.000684877726594747;0.0213949608681638;0.0208370512151107;32.8767686188974;0.120528594861647
"k_5";0.000705887994363473;0.0217002230410871;0.0211294024891725;33.8854118750752;0.125529567838027
