"MSE";"MAE";"MAPE";"THEIL";"ARV"
"Oracle";1.57448330086664e-05;0.00323776968263785;0.00323759510699047;0.715337212647713;0.0015671222613449
"SA";0.0047029892785671;0.0671897041765786;0.0647535590888683;213.15481447463;3.64736490905379
"SM";0.00380849700650174;0.061015145658599;0.0591514278801101;172.428494486236;2.04112973866558
"k_1";0.000242856496227374;0.0145728012218202;0.0137945109285225;11.0339983722184;0.0331148539956423
"k_2";0.000545701762374285;0.0214800595714212;0.0202031856122536;24.8002549011132;0.089859934816858
"k_3";0.000931279671729117;0.0290806038651684;0.0276845623832288;42.3151570142792;0.185628785957603
"k_4";0.0003787564085536;0.0180252493304373;0.0169974206617675;17.2115729232492;0.0566342636163731
"k_5";0.000349092790768797;0.0173347597087138;0.0163568387151185;15.8631694188963;0.0512281071427836
