"MSE";"MAE";"MAPE";"THEIL";"ARV"
"Oracle";79376186.1908582;3451.93878737043;0.022476099909038;0.185674245395479;0.054167539991402
"SA";321338923.921187;12261.2490927744;0.0819630237602952;0.751557978388335;0.241559074437882
"SM";316460379.248949;12207.1485303351;0.0816483326505092;0.740104434998809;0.235039126599257
"k_1";347375031.644299;13774.9446212681;0.0981630305058964;0.805877621827143;0.285936552249806
"k_2";359034413.707524;13480.3498475909;0.0939727510708684;0.839837542605352;0.305314891940533
"k_3";329229457.51301;12878.415097994;0.0904965661989472;0.770012501953673;0.272390578939782
"k_4";354447226.219973;13660.0584701261;0.096187245019247;0.827734224359016;0.303978900091468
"k_5";348971800.766058;13547.4238001656;0.0946228678246604;0.815256162082201;0.295244123333518
