"MSE";"MAE";"MAPE";"THEIL";"ARV"
"Oracle";1.01296734396198e-06;0.000669510712866175;0.00112808250174975;0.0258738510665515;6.47042631347666e-05
"SA";0.000552303321927437;0.0166532608208765;0.0245564091554406;14.5460414207404;0.0310192219241649
"SM";0.000113668442093899;0.00736716057009985;0.0113887505805228;2.88256635140282;0.00717742573281903
"k_1";0.000231488592204868;0.0115771233657119;0.0203293135755614;6.63356404958922;0.0168021479169211
"k_2";0.000186789432426933;0.0113076470470366;0.0196456175832493;5.35445467398174;0.0135034625620675
"k_3";9.03256664772924e-05;0.00809275584568233;0.0148060444564884;2.56443938830797;0.00610449582215545
"k_4";0.000187679872363265;0.0116828745181047;0.0203095312736605;5.37995842661022;0.0136381110799608
"k_5";0.000178855458889629;0.0114548920947453;0.0199209871819256;5.12775031624361;0.0130153657677784
