"","structure.c.0.742639812112046..0.777220647279287..0.811034953059575..","structure.c.0.798268398388687..0.752051433183499..0.795746338219312.."
"11",0.742639812112046,0.798268398388687
"12",0.777220647279287,0.752051433183499
"13",0.811034953059575,0.795746338219312
"14",0.798184914105309,0.760524300126139
"15",0.672768455075894,0.672126347377541
"16",0.60565028158509,0.580354761412093
"17",0.59051489744591,0.533141296929407
"18",0.634580549826476,0.613206933190879
"19",0.643976132096343,0.598411613442297
"20",0.664736902969967,0.52789719462361
"21",0.655536635356059,0.583222605877102
"22",0.78851696586658,0.771991837633437
"23",0.840080324469278,0.862516286038901
"24",0.842198959544534,0.828304370376992
"25",0.860078866105006,0.816555775468152
"26",0.843099734583266,0.775085342277374
"27",0.733161911406742,0.710941834038499
"28",0.704262365978232,0.622902092408397
"29",0.642287798485104,0.519241688511356
