"MSE";"MAE";"MAPE";"THEIL";"ARV"
"Oracle";0.0112302622275512;0.0628308645868983;0.126289434202886;0.271613608102256;0.717540261187108
"SA";0.02953636017934;0.13738265454067;0.255203109448352;0.71334788441128;3.3131873711471
"SM";0.0298600947076262;0.137785689706678;0.255278446753637;0.721147865732775;3.35251564892932
"k_1";0.0294549467992619;0.131077216954861;0.22956578515018;0.704749485627212;2.63424592388704
"k_2";0.0286867026240143;0.126225046612191;0.227701565120737;0.690926260422006;2.61746131555626
"k_3";0.0287341388999242;0.125243663137314;0.22805874943933;0.69297810754838;2.60645342136471
"k_4";0.0274934092415644;0.123130931733958;0.22713717679044;0.66339302747616;2.4396411926883
"k_5";0.0274528931588139;0.123325645826722;0.22755746677937;0.661543420866086;2.43656201953807
