"MSE";"MAE";"MAPE";"THEIL";"ARV"
"Oracle";8.28098639761465e-05;0.00321825615579601;0.00437683825044605;0.500317652430708;0.00258339585102595
"SA";0.000862396222837115;0.0177586114351871;0.0261954227407356;5.19672441570248;0.0282693160272529
"SM";0.000794865692313295;0.016742043732754;0.0251057033996662;4.80213056472567;0.0264916135217718
"k_1";0.000537614573066947;0.0166660359607436;0.0273598310463848;2.87229086373326;0.0175742963804637
"k_2";0.00030512189982803;0.0133128080154047;0.0224018077119682;1.80869437871913;0.0100950176967401
"k_3";0.000264163954086809;0.0114667862027076;0.0191253041351718;1.57236098302424;0.0084423814462124
"k_4";0.000261411958372718;0.0118158147891219;0.0200951357808945;1.57717221289521;0.00866141187680428
"k_5";0.000248153354771347;0.0115030282593684;0.019633711821606;1.49824692124425;0.00822512377031674
