"MSE";"MAE";"MAPE";"THEIL";"ARV"
"Oracle";4.60845382039075e-05;0.00519321936406329;0.00484766919835863;0.601515217581695;0.000913892920168976
"SA";0.0132927741232466;0.104353996346192;0.0848825958408011;173.380650172749;1.02991155475532
"SM";0.0121323814118937;0.0994132806452199;0.080765492153605;158.241513185555;0.862619352029064
"k_1";0.000182111248810235;0.0114946875407378;0.010422327481171;2.37699476548352;0.00382068595509278
"k_2";0.000182111248810235;0.0114946875407378;0.010422327481171;2.37699476548352;0.00382068595509278
"k_3";0.000674392713431093;0.0250474195238741;0.0217297191667513;8.79159700388364;0.0161780408617614
"k_4";0.000252498190484344;0.0147704646291955;0.0126875636623759;3.29566330084495;0.00555074802411212
"k_5";0.000233455009739657;0.0140921963788983;0.0122161835466655;3.04712319230306;0.00508404206301606
