"MSE";"MAE";"MAPE";"THEIL";"ARV"
"Oracle";0.000449937183237428;0.012338843833671;0.0093643003841541;0.414019288777191;0.00576372786575261
"SA";0.0232447993966048;0.13759022049071;0.0943680731151843;21.3925859985697;0.669804794317556
"SM";0.024351327918118;0.140506634845028;0.0961008745423308;22.4105264727373;0.700714044570638
"k_1";0.0606826692262158;0.222285719277072;0.150452071408861;55.8475442078571;1.73778376512407
"k_2";0.0344753873457146;0.16763946605032;0.114376805172169;31.7283989539524;1.09470075454345
"k_3";0.0269795534450042;0.150461364966896;0.103981695723955;24.8298824362305;0.784486115470692
"k_4";0.0259301982733223;0.145346947039627;0.0994557108475673;23.8637790165122;0.778087825359651
"k_5";0.0320698604998093;0.161587458389512;0.11010487244339;29.5143237683938;1.00156709359249
