"MSE";"MAE";"MAPE";"THEIL";"ARV"
"Oracle";3.4549761339055e-06;0.00162514472911889;0.00171458337835099;0.255665758183331;0.00049268879482261
"SA";0.00536863089424589;0.0719625324918397;0.0727542688628204;401.564806098979;11.8372344819719
"SM";0.00372294225028989;0.0600888548968506;0.0608516494722067;278.23176907448;4.3386438531158
"k_1";0.000156421875755299;0.0114965341983433;0.0113724456246504;11.7505458384641;0.0168211707996536
"k_2";0.000156421875755299;0.0114965341983433;0.0113724456246504;11.7505458384641;0.0168211707996536
"k_3";1.87667984940164e-05;0.00383068044893787;0.00387360012605211;1.37882314602514;0.00247556238306966
"k_4";0.000156421875755299;0.0114965341983433;0.0113724456246504;11.7505458384641;0.0168211707996536
"k_5";0.0001564218757553;0.0114965341983433;0.0113724456246505;11.7505458384642;0.0168211707996536
