"MSE";"MAE";"MAPE";"THEIL";"ARV"
"Oracle";0.00310564837221186;0.0259671253245437;0.0212081519601708;0.20644711429674;0.0499155117085418
"SA";0.036168611168521;0.159413222239933;0.119038731345051;2.40431193116819;1.2155083127773
"SM";0.034653518266369;0.156781754201734;0.11782447866457;2.30364651345003;1.19239313778212
"k_1";0.0976011889323178;0.27844894931581;0.206684866405486;6.48821373181086;1.67696305370246
"k_2";0.0794314791802275;0.24069303337774;0.175912793158178;5.28034610874584;2.11613749416498
"k_3";0.0820227827599644;0.243157832061691;0.177215581310129;5.45243580492107;2.24581178300561
"k_4";0.0572233370090988;0.20347202640474;0.150174411692533;3.80390697929337;1.65975098729542
"k_5";0.0578781814596157;0.206661641223802;0.152399628262483;3.84742108167406;1.61526024266827
