i;V1;V2;V3;V4;V5;V6;V7
129;0.511371884;0.533778433;0.514860876;0.503106072;0.520214753;0.482885282;0.4852111
130;0.458707052;0.462425629;0.458905404;0.460730288;0.487668632;0.444840448;0.462385019
131;0.290348021;0.308626913;0.293947214;0.290519676;0.299558649;0.286946738;0.312368559
132;0.391470151;0.426080462;0.390329825;0.402528637;0.364637119;0.410377377;0.378022379
133;0.447298933;0.451623508;0.474939632;0.444764398;0.424482501;0.462639698;0.411043066
134;0.487220232;0.494171845;0.479857961;0.516639143;0.529140043;0.502678205;0.493128973
135;0.568674015;0.568314544;0.576974199;0.586150905;0.569574458;0.57896536;0.531205702
136;0.568092326;0.587249693;0.572957373;0.566849537;0.575648159;0.628900667;0.578382322
137;0.529027913;0.529582465;0.551064629;0.550179303;0.596036638;0.656996662;0.525426401
138;0.427593662;0.422105284;0.423518677;0.409998777;0.3394142;0.428139091;0.430103322
139;0.319209959;0.328907337;0.333807632;0.321560647;0.33725333;0.319545094;0.321732155
140;0.650439995;0.587181665;0.621227019;0.62860064;0.632879398;0.62815981;0.649159107
141;0.597219428;0.558115984;0.629077116;0.616027844;0.595967361;0.620219051;0.616654159
142;0.624208774;0.644912613;0.633268186;0.640082667;0.63905142;0.644579504;0.649502446
143;0.6422316;0.655061895;0.655578935;0.66660486;0.621183826;0.628748809;0.603032623
144;0.541770641;0.54126603;0.575811948;0.546322326;0.531203602;0.555227379;0.556997823
145;0.269161734;0.252610893;0.23344572;0.278970598;0.292957394;0.307687446;0.269078328
146;0.344026689;0.33747571;0.309205846;0.345506557;0.3304302;0.380129941;0.36133503
147;0.516635273;0.54486985;0.522808208;0.51640473;0.538832273;0.526625381;0.531031419
148;0.581932588;0.562757703;0.551297941;0.559827474;0.576133733;0.527961027;0.555767841
149;0.558537982;0.583006368;0.576051388;0.57909444;0.552978108;0.567166083;0.579561916
150;0.560533934;0.582725421;0.547708464;0.560002439;0.521043705;0.474168857;0.521617755
151;0.493213334;0.470978717;0.473581013;0.490199558;0.490647567;0.525362309;0.522179078
152;0.259406943;0.256624328;0.252572401;0.305433154;0.315784957;0.240094526;0.290787148
153;0.289777183;0.265866283;0.292714109;0.300762079;0.330539596;0.26380855;0.269657071
154;0.60397812;0.557340146;0.517394681;0.548777705;0.585657222;0.540134276;0.590252996
155;0.560992987;0.523130353;0.543922494;0.540275375;0.524991502;0.55107415;0.493504242
156;0.555280696;0.560102603;0.589077173;0.535035906;0.557304456;0.580537348;0.568845336
157;0.562926447;0.569015507;0.566112243;0.571604252;0.566643077;0.552221224;0.551295141
158;0.517066546;0.494864377;0.519862893;0.513356447;0.515416149;0.49247401;0.526769636
159;0.213070529;0.20570612;0.226662272;0.18710387;0.23948103;0.27061276;0.243050018
160;0.361634331;0.385598534;0.355146396;0.372947483;0.341719694;0.384719518;0.352980976
161;0.614253855;0.572277837;0.620223624;0.610575099;0.597081897;0.60567688;0.610191135
162;0.510680478;0.517123224;0.530382919;0.517112947;0.554502842;0.527414839;0.542259963
163;0.548130995;0.559674951;0.552752976;0.549927789;0.512844441;0.519690375;0.521087364
164;0.520469966;0.533612164;0.525045507;0.526005016;0.510227208;0.506690422;0.500854415
165;0.423152743;0.399111829;0.401913339;0.410648161;0.423126;0.450107114;0.470200871
166;0.243287167;0.243604181;0.238926714;0.257795541;0.226671284;0.250778606;0.288512643
167;0.324085271;0.311786015;0.315217008;0.369322313;0.343251084;0.333786963;0.356257068
168;0.473915631;0.461298381;0.466839945;0.48234019;0.480416584;0.499942459;0.533726481
169;0.493751067;0.500773927;0.47638744;0.478002091;0.492962409;0.48752747;0.49224415
170;0.493056875;0.473621841;0.49488634;0.479771434;0.468043287;0.49859982;0.455378337
171;0.407788503;0.409196347;0.425692364;0.377899614;0.444218193;0.416871229;0.409536688
172;0.427956178;0.457434068;0.450202617;0.449534884;0.451527662;0.41965162;0.436641404
173;0.307502457;0.314911218;0.343713494;0.316560112;0.287046707;0.315269449;0.308107884
174;0.378671144;0.418237009;0.38509866;0.39475799;0.425362914;0.401510754;0.395698875
