"MSE";"MAE";"MAPE";"THEIL";"ARV"
"Oracle";55386809.2330657;2680.60242171203;0.0168917006472437;0.178986502494393;0.033309450389373
"SA";257589681.076122;10587.5590714034;0.0754953986468782;0.807306419960189;0.166409954951959
"SM";253678959.105571;10534.0855362276;0.0750464597087821;0.793961323234573;0.162147873558768
"k_1";290752349.735835;11499.8518458828;0.0860454494954038;0.971536649466444;0.211917014364022
"k_2";262762332.07422;10958.5031334215;0.0814545572240692;0.892970991481356;0.194707142569908
"k_3";264608363.422558;10786.4796733521;0.0797799308527274;0.882289841297159;0.187812489335399
"k_4";267443137.531651;10981.2828867218;0.0824419993416824;0.903297413602636;0.196483676285009
"k_5";269190191.455464;11080.3563484079;0.0818401289044394;0.895828895496581;0.193995427169466
