"MSE";"MAE";"MAPE";"THEIL";"ARV"
"Oracle";5.40159527909524e-06;0.00127129248752347;0.00415769456197806;0.139363129608522;0.00885888163782252
"SA";0.000168792866536386;0.0113061581872605;0.0375640496479975;4.57036633378407;0.478635684441871
"SM";0.000131816159779696;0.0094484796412382;0.0311241442957168;3.55605269212162;0.349671311724136
"k_1";0.000120868372631754;0.00915572522425853;0.0302637389195828;3.34737467356519;0.339514655222132
"k_2";0.000116612336057199;0.00913394134238166;0.0301613031701864;3.22867373865602;0.332121521212119
"k_3";8.57854872857279e-05;0.00727029207376592;0.0236157869019244;2.38460773071104;0.242873471009739
"k_4";0.000120051532667049;0.00924523057499187;0.0304895801885451;3.31600235552366;0.3388110164297
"k_5";0.00011749536848255;0.00908953527161497;0.0299415227647378;3.24976056138404;0.326519196999985
