"MSE";"MAE";"MAPE";"THEIL";"ARV"
"Oracle";1.95095786657994e-06;0.000972429840462629;0.00328797483143813;0.0603342337926533;0.00344351080894006
"SA";6.17221171047857e-05;0.00605250542607874;0.0196657035760601;1.69258206973276;0.17049990167622
"SM";7.08927749443679e-05;0.0067637145917235;0.0223290145733003;1.9549191184519;0.189365367343482
"k_1";0.000374010045495761;0.0177839879911002;0.0586195178052629;11.6083518117775;0.496637460851624
"k_2";0.000292429765574455;0.0153170457402485;0.0503637584248349;9.06526428979326;0.446189118047768
"k_3";0.000357155027450226;0.0170695712579413;0.0561312860555219;11.0749491813051;0.509502023541063
"k_4";0.000243795437935693;0.0136757382025824;0.0448424063719597;7.53988721588267;0.409831087440036
"k_5";0.000254234529259054;0.0140208154037259;0.0460184957684054;7.86373578124912;0.418077681788105
