"MSE";"MAE";"MAPE";"THEIL";"ARV"
"Oracle";8.87954644271262e-06;0.0014500480191202;0.00240031984194834;0.0423791727634967;0.000638080942582884
"SA";0.00035687308462914;0.0148468396854579;0.0257344373047848;1.81226219268852;0.0249300265665411
"SM";0.000250410689345398;0.0126389153135272;0.0225855689236315;1.29105855693564;0.0177254787511323
"k_1";0.00111874293609422;0.0278334025433205;0.0506212498659811;6.17588208412964;0.0992024837771046
"k_2";0.000690390676094786;0.0212253213113869;0.0390217344874138;3.76748565966645;0.0607544217159825
"k_3";0.00039989395526078;0.0158140489183955;0.0292001338464845;2.06099956104154;0.0324801990043281
"k_4";0.00053728730893678;0.0190479538391999;0.0348668596480821;2.88754513824783;0.0468813267861956
"k_5";0.000480632524831515;0.0183668956568482;0.0337809018020542;2.62893733281218;0.0420367333607468
