"MSE";"MAE";"MAPE";"THEIL";"ARV"
"Oracle";0.000281106215164315;0.00694745379145303;0.00869373944609134;0.299531208731011;0.0222795636282172
"SA";0.00190858899465082;0.0332534847217439;0.0396606781641368;2.13206782387042;0.26667198871556
"SM";0.00186702067187892;0.0327408354944131;0.0391443758194547;2.08208520941792;0.252705083224177
"k_1";0.00343273910736218;0.0476251940102183;0.0557984169024171;3.87896377767732;0.688556137391215
"k_2";0.0036295416399015;0.0474739832924745;0.0547946761911756;4.15913263280756;0.864876834799343
"k_3";0.0026074918604112;0.0413394574709357;0.0485755640455112;2.98648885372646;0.462081222816841
"k_4";0.00225546663674806;0.0369917043090746;0.0432997559718336;2.53407384946978;0.377554862084422
"k_5";0.00192172663320165;0.0336274382103467;0.0396837589016902;2.13825466779522;0.287103485966921
