"MSE";"MAE";"MAPE";"THEIL";"ARV"
"Oracle";0.000263042036797504;0.0053130579809525;0.0190152789367179;0.139834525529862;0.186481999246938
"SA";0.00123356087366395;0.0205069846348804;0.0699592288160032;0.648620559758401;1.4700492005971
"SM";0.00122525247876066;0.0203345902984164;0.0692627664715545;0.644058254679696;1.48784624264485
"k_1";0.00115726043957993;0.020188316759369;0.0695819259497568;0.611638347262142;1.35850704804735
"k_2";0.00120671305104081;0.0205488219863703;0.0705836484512577;0.636483207344562;1.48087953539614
"k_3";0.00120081445897165;0.0198210672747336;0.0670132325902777;0.63495456279842;1.57400034630537
"k_4";0.0011982861962764;0.020114645345189;0.0688597558674309;0.631714576825243;1.42919224555962
"k_5";0.00121120011731461;0.0200959807120761;0.0687136692353736;0.638560132438561;1.45203618833684
