"MSE";"MAE";"MAPE";"THEIL";"ARV"
"Oracle";5550185267.75046;60789.7927720801;0.00323759493261024;0.715337212647714;0.0015671222613449
"SA";1657843039295.75;1261500.53699432;0.0647535557333139;213.154814474629;3.64736490905378
"SM";1342527035131;1145571.9288602;0.0591514247952553;172.428494486236;2.04112973866557
"k_1";85608945283.6206;273607.344936726;0.0137945102284405;11.0339983722184;0.0331148539956423
"k_2";192364433490.537;403292.543345705;0.0202031845942502;24.8002549011132;0.089859934816858
"k_3";328283870101.473;545994.328172934;0.0276845609687146;42.3151570142792;0.185628785957603
"k_4";133514800548.419;338427.769380322;0.0169974198028168;17.2115729232491;0.0566342636163731
"k_5";123058127281.274;325463.684491603;0.0163568378879415;15.8631694188963;0.0512281071427837
