"MSE";"MAE";"MAPE";"THEIL";"ARV"
"Oracle";4045886.6425828;711.355065253271;0.00437683825044605;0.500317652430709;0.00258339585102595
"SA";42134562.1289221;3925.31780714032;0.0261954227407356;5.19672441570249;0.0282693160272529
"SM";38835186.2056438;3700.61829619668;0.0251057033996662;4.80213056472568;0.0264916135217718
"k_1";26266528.1113849;3683.8177337179;0.0273598310463848;2.87229086373327;0.0175742963804637
"k_2";14907506.9031548;2942.62885117053;0.0224018077119682;1.80869437871913;0.0100950176967401
"k_3";12906402.2324628;2534.58893655244;0.0191253041351718;1.57236098302424;0.0084423814462124
"k_4";12771946.4784563;2611.73731780135;0.0200951357808945;1.57717221289521;0.00866141187680428
"k_5";12124163.6584587;2542.59978756393;0.019633711821606;1.49824692124425;0.00822512377031674
